timestamp_utc,block_time_utc,block_number,lp_usdt,lp_token_balance_usdt,rbs_usdt,safety_usdt,lp_plus_rbs_usdt,known_protocol_usdt,interval_external_net_usdt,protocol_config_hash,protocol_config_changed,flow_complete,ibs_total_supply,ibs_circulating_proxy,backing_per_ibs,total_change_24h,total_change_7d,external_net_24h_usdt,external_net_7d_usdt,health,report_reason,program_version
2026-08-07T09:38:27.802217+00:00,2026-08-07T09:38:24+00:00,114522310,10787482.051416179631715342,10787482.051416179631715342,1358733.233514673596533384,199991.190326,12146215.284930853228248726,12346207.475761853228248726,2273.550473187985160388,7020a89c335f8b92df620ebf84bd0eddaa9bf9e3f2d0453b1b5174b9910d1737,False,True,974462.039557388602325357,971320.878277005792014553,12.710739315268692100667689820413082458570523423306765760936090229962124115226706,-0.014536446049176769340023718346304213159814704149481015281627408303820814175221801,,-179167.258376248845064981,,DOWNTREND,PERIODIC,2026-08-05-core-v2
2026-08-07T11:00:44.774393+00:00,2026-08-07T11:00:40+00:00,114533273,10786417.142062456305754666,10786417.142062456305754666,1394169.820626225662923436,199991.190326,12180586.962688681968678102,12380579.153519681968678102,34371.677757828740429376,7020a89c335f8b92df620ebf84bd0eddaa9bf9e3f2d0453b1b5174b9910d1737,False,True,975876.10539131917375621,972734.944110936363445406,12.727596790850693100320765751369549137042854049594183997634293017169643091333833,-0.011357647867412896116898219267154172792252300801060062560062624956025469001502838,,-139932.11725372780736196,,DOWNTREND,PERIODIC,2026-08-05-core-v2
2026-08-07T12:02:32.012187+00:00,2026-08-07T12:02:29+00:00,114541514,10793259.620137871367453731,10793259.620137871367453731,1394735.569168125700907774,199991.190326,12187995.189305997068361505,12387987.380136997068361505,7408.226617315099683403,7020a89c335f8b92df620ebf84bd0eddaa9bf9e3f2d0453b1b5174b9910d1737,False,True,975899.744939357858858626,972758.583658975048547822,12.734903179199204894187909955306372550031250751350529601572817828194666948291876,-0.010034010019101946963302364694851783732683758401237199560854005140027857461716854,,-123534.007309304075582237,,DOWNTREND,PERIODIC,2026-08-05-core-v2
2026-08-07T14:00:56.791336+00:00,2026-08-07T14:00:51+00:00,114557292,10785187.676381122387459546,10785187.676381122387459546,1407987.376395860952146735,199991.190326,12193175.052776983339606281,12393167.243607983339606281,5179.863470986271244776,7020a89c335f8b92df620ebf84bd0eddaa9bf9e3f2d0453b1b5174b9910d1737,False,True,976423.990210265156087061,973282.828929882345776257,12.733365754257868528232079501933743105550373060163201565604320006460729637521735,-0.0082558902343113143031667050410870709905525739910449959962219741490067012514024014,,-101503.516736039161897514,,DOWNTREND,PERIODIC,2026-08-05-core-v2
2026-08-07T15:12:57.636764+00:00,2026-08-07T15:12:54+00:00,114566896,10787701.708908470441123862,10787701.708908470441123862,1390200.760842329386305148,199991.190326,12177902.46975079982742901,12377894.66058179982742901,-15272.583026183512177271,7020a89c335f8b92df620ebf84bd0eddaa9bf9e3f2d0453b1b5174b9910d1737,False,True,975718.022131154963873263,972576.860850772153562459,12.726905356610173872530935120941399923789563081743419885890644990981462825329680,-0.0094981010769806595747152706765710732005530535258595318933794282240994158617029104,,-116776.099762222674074785,,DOWNTREND,PERIODIC,2026-08-05-core-v2
2026-08-07T17:00:43.462986+00:00,2026-08-07T17:00:38+00:00,114581249,10787116.121682643141469001,10787116.121682643141469001,1380991.708498197076625774,199991.190326,12168107.830180840218094775,12368100.021011840218094775,-9794.639569959609334235,7020a89c335f8b92df620ebf84bd0eddaa9bf9e3f2d0453b1b5174b9910d1737,False,True,999872.077442880276304216,996730.916162497465993412,12.408663983379907285259547652230033951712660765591841769607143129178911191300189,-0.010294757900059163470982459025187096917173978832957961654833660468169420466915662,,-126570.73933218228340902,,DOWNTREND,PERIODIC,2026-08-05-core-v2
2026-08-07T18:05:12.131531+00:00,2026-08-07T18:05:09+00:00,114589851,10787233.822075009933260089,10787233.822075009933260089,1365711.158402897867766276,199991.190326,12152944.980477907801026365,12352937.171308907801026365,-15162.84970293241706841,7020a89c335f8b92df620ebf84bd0eddaa9bf9e3f2d0453b1b5174b9910d1737,False,True,999265.770959304702683702,996124.609678921892372898,12.400994866280430282096024481068746934552888665942574919813077315848245407551788,-0.011528043472935510688217661840165412321420361727425212221813040730909857615694894,,-141733.58903511470047743,,DOWNTREND,PERIODIC,2026-08-05-core-v2
2026-08-07T20:00:40.271769+00:00,2026-08-07T20:00:37+00:00,114605244,10789283.349405933645445338,10789283.349405933645445338,1357457.529033117265361412,199991.190326,12146740.87843905091080675,12346733.06927005091080675,-6204.102038856890219615,7020a89c335f8b92df620ebf84bd0eddaa9bf9e3f2d0453b1b5174b9910d1737,False,True,998937.925550159036803432,995796.764269776226492628,12.398847346947330168959222763059982356615030892875142786136011435411539328735177,-0.0083706720430976015291745132870823192783142984955308836647203920395971950984319773,,-102534.668367855658765883,,DOWNTREND,PERIODIC,2026-08-05-core-v2
2026-08-07T22:00:44.875948+00:00,2026-08-07T22:00:38+00:00,114621243,10789824.655068905860350609,10789824.655068905860350609,1351913.570331259177622524,199991.190326,12141738.225400165037973133,12341730.416231165037973133,-5002.653038885872833617,7020a89c335f8b92df620ebf84bd0eddaa9bf9e3f2d0453b1b5174b9910d1737,False,True,998704.109159147645016087,995562.947878764834705283,12.396734372269030223802451783857155911239129216481076396697184497493815941003169,-0.0087790760356251387955818304715275561416903436157179844304667730246124059663500994,,-107537.3214067415315995,,DOWNTREND,PERIODIC,2026-08-05-core-v2
2026-08-07T23:52:21.664007+00:00,2026-08-07T23:52:17+00:00,114636116,10788179.450342382565702219,10788179.450342382565702219,1345963.214517093771321649,199991.190326,12134142.664859476337023868,12334134.855690476337023868,-7595.560540688700949265,7020a89c335f8b92df620ebf84bd0eddaa9bf9e3f2d0453b1b5174b9910d1737,False,True,998468.318454014412440239,995327.157173631602129435,12.392039909982910868975351093980006437937445282989807607985022682496732852525005,-0.0080149939999927257885646096734920682375595411321596369794892646147233891434783560,,-98040.877700427393551736,,DOWNTREND,PERIODIC,2026-08-05-core-v2
2026-08-08T01:00:45.832374+00:00,2026-08-08T01:00:39+00:00,114645227,10786104.827802855136017513,10786104.827802855136017513,1334909.3594629130307394,199991.190326,12121014.187265768166756913,12321006.378096768166756913,-13128.477593708170266955,7020a89c335f8b92df620ebf84bd0eddaa9bf9e3f2d0453b1b5174b9910d1737,False,True,998029.185667391665312738,994888.024387008855001934,12.384313687144081158132930413375811235983801048796528219769850013254667037052947,-0.0090882674305319060082386251407912283129501320338149010083278558277755181985748447,,-111169.355294135563818691,,DOWNTREND,PERIODIC,2026-08-05-core-v2
2026-08-08T03:00:45.577617+00:00,2026-08-08T03:00:42+00:00,114661231,10788792.784172393793787422,10788792.784172393793787422,1289247.011708589397235144,199991.190326,12078039.795880983191022566,12278031.986711983191022566,-42974.391384784975734347,7020a89c335f8b92df620ebf84bd0eddaa9bf9e3f2d0453b1b5174b9910d1737,False,True,996214.781525172847181594,993073.62024479003687079,12.363666435103251286158917763740972226629566410675924584966308441221431225354159,-0.0097482884964624134024927084845838662240073087127102220832191871569154779818278586,,-118899.280894180214301125,,DOWNTREND,PERIODIC,2026-08-05-core-v2
2026-08-08T05:00:47.341469+00:00,2026-08-08T05:00:42+00:00,114677230,10790727.405312605607021688,10790727.405312605607021688,1307320.041201610177053677,199991.190326,12098047.446514215784075365,12298039.637345215784075365,20007.650633232593052799,7020a89c335f8b92df620ebf84bd0eddaa9bf9e3f2d0453b1b5174b9910d1737,False,True,996936.271707279867312782,993795.110426897057001978,12.374823047335622575409471104468713228143783923915473839744797996088903372804012,-0.0059156723367295827250114066524432793531561043258381414296312595882753784197138603,,-71993.977388232816333654,,DOWNTREND,PERIODIC,2026-08-05-core-v2
2026-08-08T06:09:54.719861+00:00,2026-08-08T06:09:50+00:00,114686446,10788204.178408007525830067,10788204.178408007525830067,1301351.398201050190783879,199991.190326,12089555.576609057716613946,12289547.767440057716613946,-8491.869905158067461419,7020a89c335f8b92df620ebf84bd0eddaa9bf9e3f2d0453b1b5174b9910d1737,False,True,996697.628237792421448263,993556.466957409611137459,12.369248427892190265513362426557075400464227954359430707312209653469729937346784,-0.0058889951892899848869198430892959863888648747412395967634863536395849324233021140,,-71617.087313967566035609,,DOWNTREND,PERIODIC,2026-08-05-core-v2
2026-08-08T08:00:33.043568+00:00,2026-08-08T08:00:30+00:00,114701194,10789092.675468480421684588,10789092.675468480421684588,1296790.767247858450803703,199991.190326,12085883.442716338872488291,12285875.633547338872488291,-3672.133892718844125655,7020a89c335f8b92df620ebf84bd0eddaa9bf9e3f2d0453b1b5174b9910d1737,False,True,996514.608912752209330745,993373.447632369399019941,12.367830710922255201615042595580442360563710581945639057305197957386520942178692,-0.0047808440628951344769219444274775874037591659081465012491056751498272959370682478,,-58058.291741326370600047,,DOWNTREND,PERIODIC,2026-08-05-core-v2
2026-08-08T09:00:42.360487+00:00,2026-08-08T09:00:38+00:00,114709211,10786819.469598753587843995,10786819.469598753587843995,1283787.2314091033235691,199991.190326,12070606.701007856911413095,12270598.891838856911413095,-15276.741708481961075196,7020a89c335f8b92df620ebf84bd0eddaa9bf9e3f2d0453b1b5174b9910d1737,False,True,995998.490045944522994285,992857.328765561712683481,12.358873259857106812590108997680941505920852812712891819227437653676287615596800,-0.0062248677591611407327163623422668436061451302901100449398381036069234160646868642,,-75608.583922996316835631,,DOWNTREND,PERIODIC,2026-08-05-core-v2
2026-08-08T10:03:42.283966+00:00,2026-08-08T10:03:39+00:00,114717609,10786137.649174501733160748,10786137.649174501733160748,1190125.969175069427576245,199991.190326,11976263.618349571160736993,12176255.809180571160736993,-94343.082658285750676102,7020a89c335f8b92df620ebf84bd0eddaa9bf9e3f2d0453b1b5174b9910d1737,False,True,992266.001591544308221548,989124.840311161497910744,12.310129432039269024108744219000123412058817177142151437950985626432470476273306,-0.013992150031469624121376555315627209489835875043454346632016024730201771171880789,,-169951.666581282067511733,,DOWNTREND,PERIODIC,2026-08-05-core-v2
2026-08-08T11:16:43.360693+00:00,2026-08-08T11:16:39+00:00,114727340,10789074.731300872055483743,10789074.731300872055483743,1181477.787676581173847618,199991.190326,11970552.518977453229331361,12170544.709808453229331361,-5711.099372117931405632,7020a89c335f8b92df620ebf84bd0eddaa9bf9e3f2d0453b1b5174b9910d1737,False,True,991922.753637023564462518,988781.592356640754151714,12.308626903436219358660746098305107299689749864426564479786939192297945251007782,-0.017243376230932206619663672129172374411456350274111638784749237203174947986813005,,-210034.443711228739346741,,DOWNTREND,PERIODIC,2026-08-05-core-v2
2026-08-08T13:00:43.848364+00:00,2026-08-08T13:00:39+00:00,114741204,10790524.490033140438863744,10790524.490033140438863744,1179029.301196023898074857,199991.190326,11969553.791229164336938601,12169545.982060164336938601,-998.72774828889239276,7020a89c335f8b92df620ebf84bd0eddaa9bf9e3f2d0453b1b5174b9910d1737,False,True,991826.172731739834833642,988685.011451357024522838,12.308819129047656169495484119732710552776352511379035838236804880335844398020193,-0.017922668550812836014907646585895929300597498512997449369527801009169310512465415,,-218441.398076832731422904,,DOWNTREND,PERIODIC,2026-08-05-core-v2
2026-08-08T15:00:37.818989+00:00,2026-08-08T15:00:33+00:00,114757188,10795281.184503871775112141,10795281.184503871775112141,1183151.758824392465232361,199991.190326,11978432.943328264240344502,12178425.134159264240344502,8879.152099099903405901,7020a89c335f8b92df620ebf84bd0eddaa9bf9e3f2d0453b1b5174b9910d1737,False,True,991991.84751417769519615,988850.686233794884885346,12.315736140142504919273110146983816410689049889776911472973874877388085589151333,-0.016379629161754765925487503756098120476708367614424400379875065716454364089512748,,-199469.526422535587084508,,DOWNTREND,PERIODIC,2026-08-05-core-v2
